0,1,2,3,4,5,6
2738735,0.8615301353848464,5,2738735,False,True,2019-04-27
2738739,0.0,5,2738739,False,True,2019-04-27
2738740,1.5999999997450942,5,2738740,False,True,2019-04-27
2740879,0.8924721246549191,4,2740879,False,True,2019-04-28
2740882,2.3893449894128764,5,2740882,False,True,2019-04-28
2740885,2.133607285155654,5,2740885,False,True,2019-04-28
2740886,1.0985481978506835,5,2740886,False,True,2019-04-28
2740887,1.3496214073985515,5,2740887,False,True,2019-04-28
2740905,0.995614297517615,5,2740905,False,True,2019-04-28
2740906,1.3354113340837626,5,2740906,False,True,2019-04-28
2743106,0.0,5,2743106,False,True,2019-05-01
2743107,,5,2743107,False,False,2019-05-01
2743108,1.2693060544535633,5,2743108,False,True,2019-05-01
2743110,0.0,5,2743110,False,True,2019-05-01
2743111,1.3199245433308338,5,2743111,False,True,2019-05-01
